Label	Weight	Text
ProdInfo	1	신청방법
ProdInfo	1	상환방식
ProdInfo	1	신청대상자
ProdInfo	1	대출금리
ProdInfo	1	비상금대출
ProdInfo	1	대출기간
ProdInfo	1	대출철회권
ProdInfo	1	대출한도
ProdRecommend	1	비상금대출 자동이체 변경하고싶어
ProdRecommend	1	테스트 입니다
ProdRecommend	1	금리가 높은 적금 추천해줘
ProdRecommend	1	금리인하 관련해서 알려줘
ProdRecommend	1	사잇돌대출 만기연장 신청하고싶어
ProdRecommend	1	26주 적금 금리 궁금해
ProdRecommend	1	한도가 높은 대출 추천해줘
ProdRecommend	1	신용대출 신청하고싶어
ProdRecommend	1	테스트 발화입니다
ProdRecommend	1	비상금대출 상환하는 법 알고싶어
ProdRecommend	1	신용대출 만기연장 신청하고싶어
ProdRecommend	1	신용대출 만기연장에 대해서 알고싶어
